Name,Link,Name,YOB,Date,Competition,Placing,Division,Weightclass,Weight,Squat1,Squat2,Squat3,Bench press1,Bench press2,Bench press3,Deadlift1,Deadlift2,Deadlift3,Total,Points
Anna Perry,competitions-view?id=1354,Anna Perry,1996,10/13/2016,Raw Nationals 2016,12.,R-JR,-57,55.08,95,100,105,55,57.5,-60,115,122.5,-127.5,285,339.72
Anna Perry,competitions-view?id=1114,Anna Perry,1996,02/20/2016,USA Powerlifting Alabama State Championships,2.,R-O,-57,56.00,85,87.5,90,52.5,55,-57.5,107.5,110,115,260,305.92
Anna Perry,competitions-view?id=889,Anna Perry,1996,07/25/2015,Central Florida Championship,1.,R-JR,-63,60.10,87.5,-90,-90,50,-52.5,-52.5,102.5,105,-110,242.5,270.00
Kiana Baluyut,competitions-view?id=1354,Kiana Baluyut,1994,10/13/2016,Raw Nationals 2016,35.,R-O,-57,55.84,-102.5,102.5,-110,42.5,45,47.5,125,135,-150,285,336.07
Kiana Baluyut,competitions-view?id=1317,Kiana Baluyut,1994,08/25/2016,3rd Alaska State Fair Challenge,1.,R-O,-57,56.30,100,107.5,112.5,40,45,-47.5,130,140,147.5,305,357.37
Kiana Baluyut,competitions-view?id=1199,Kiana Baluyut,1994,04/30/2016,32nd Alaska State Championship,2.,R-JR,-63,57.80,82.5,90,97.5,40,-45,45,117.5,127.5,135,277.5,318.51
Margaret Slivinski,competitions-view?id=1354,Margaret Slivinski,1993,10/13/2016,Raw Nationals 2016,14.,R-JR,-57,55.61,97.5,105,110,47.5,-52.5,55,107.5,115,-127.5,280,331.27
Margaret Slivinski,competitions-view?id=1210,Margaret Slivinski,1993,05/07/2016,3rd Annual Connecticut Spring Classic,7.,R-O,-63,60.00,92.5,100,-105,47.5,52.5,-55,95,100,110,262.5,292.66
Emily Celli,competitions-view?id=1354,Emily Celli,1994,10/13/2016,Raw Nationals 2016,15.,R-JR,-57,55.58,82.5,87.5,92.5,42.5,45,47.5,120,127.5,-137.5,267.5,316.61
Emily Celli,competitions-view?id=1319,Emily Celli,1994,08/27/2016,2016 Bucks County Powerlifting Meet,1.,R-JR,-57,55.10,87.5,-90,90,45,-50,-50,122.5,130,132.5,267.5,318.75
Maily Ly,competitions-view?id=1354,Maily Ly,1995,10/13/2016,Raw Nationals 2016,16.,R-JR,-57,55.26,70,77.5,-82.5,27.5,32.5,-35,70,90,-102.5,200,237.78
Maily Ly,competitions-view?id=1284,Maily Ly,1995,07/23/2016,Washington State Junior & Collegiate Open,1.,R-JR,-57,55.70,60,70,-80,27.5,30,-35,70,82.5,97.5,197.5,233.37
Maily Ly,competitions-view?id=1182,Maily Ly,1995,04/14/2016,2016 USA Powerlifting Collegiate Nationals,19.,R-C,-57,55.70,-65,-72.5,-72.5,25,30,-32.5,70,80,92.5,0,0.00
Maily Ly,competitions-view?id=1101,Maily Ly,1995,02/20/2016,USA Powerlifting Washington State Championship,1.,R-JR,-57,56.50,62.5,70,-80,25,30,32.5,70,80,85,187.5,219.08
Shannon Chipman,competitions-view?id=1354,Shannon Chipman,1993,10/13/2016,Raw Nationals 2016,17.,R-JR,-57,55.94,-112.5,-112.5,-112.5,55,57.5,-62.5,117.5,122.5,135,0,0.00
Shannon Chipman,competitions-view?id=1238,Shannon Chipman,1993,05/28/2016,MA and RI Open State Championships,1.,R-JR,-57,56.80,102.5,112.5,-120,47.5,55,62.5,107.5,120,-137.5,295,343.26
Shannon Chipman,competitions-view?id=1025,Shannon Chipman,1993,12/04/2015,14th Annual USAPL American Open Powerlifting Championships,3.,R-JR,-57,55.50,100,-112.5,-112.5,50,55,-62.5,102.5,107.5,120,275,325.85
Shannon Chipman,competitions-view?id=879,Shannon Chipman,1993,08/22/2015,New England Open,5.,R-JR,-57,56.00,97.5,-105,45,,52.5,55,-112.5,-112.5,-112.5,0,0.00
Autumn Herried,competitions-view?id=1354,Autumn Herried,1995,10/13/2016,Raw Nationals 2016,1.,R-JR,-63,62.46,130,135,142.5,82.5,87.5,-92.5,130,135,142.5,372.5,402.67
