Name,Link,Name,YOB,Date,Competition,Placing,Division,Weightclass,Weight,Squat1,Squat2,Squat3,Bench press1,Bench press2,Bench press3,Deadlift1,Deadlift2,Deadlift3,Total,Points
Genevieve Cohen,competitions-view?id=992,Genevieve Cohen,1993,10/15/2015,2015 Raw Nationals,18.,R-JR,-63,60.10,95,102.5,-107.5,60,65,-67.5,112.5,120,-137.5,287.5,320.10
Genevieve Cohen,competitions-view?id=888,Genevieve Cohen,1993,08/01/2015,New Jersey State Championships,5.,R-JR,-63,60.10,97.5,-105,-105,-60,65,-67.5,110,117.5,127.5,290,322.89
Ava Connolly,competitions-view?id=992,Ava Connolly,0000,10/15/2015,2015 Raw Nationals,19.,R-JR,-63,61.30,85,92.5,100,52.5,55,57.5,107.5,112.5,-117.5,270,296.08
Ava Connolly,competitions-view?id=903,Ava Connolly,0000,06/27/2015,Seattle Summer Classic 2015,1.,R-JR,-63,58.60,77.5,-95,95,42.5,47.5,-57.5,92.5,97.5,105,247.5,281.04
Katie Rutherford,competitions-view?id=992,Katie Rutherford,1991,10/15/2015,2015 Raw Nationals,7.,R-O,-72,64.40,140,152.5,157.5,67.5,72.5,77.5,147.5,162.5,170,405,427.84
Katie Rutherford,competitions-view?id=877,Katie Rutherford,1991,08/22/2015,2015 USAPL Future Summer Shakedown,1.,R-O,-63,62.20,137.5,147.5,-157.5,65,70,75,-142.5,142.5,162.5,385,417.49
Katie Rutherford,competitions-view?id=756,Katie Rutherford,1991,11/16/2014,2014 Florida Collegiate,1.,R-JR,-67.5,64.00,145,,,72.5,,,160,,,377.5,400.64
Diana Lainez,competitions-view?id=992,Diana Lainez,1993,10/15/2015,2015 Raw Nationals,2.,R-JR,-72,70.20,130,137.5,142.5,75,80,87.5,145,155,167.5,397.5,394.68
Diana Lainez,competitions-view?id=1252,Diana Lainez,1993,07/11/2015,2015 Summer Power Fest,1.,R-JR,-72,71.30,122.5,130,135,67.5,72.5,75,135,142.5,147.5,357.5,351.21
Diana Lainez,competitions-view?id=434,Diana Lainez,1993,09/20/2014,IRON WARS,3.,R-JR,-75,74.60,117.5,,,65,,,132.5,,,315,300.45
Hannah Ghindea,competitions-view?id=992,Hannah Ghindea,1992,10/15/2015,2015 Raw Nationals,3.,R-JR,-72,69.10,127.5,135,142.5,62.5,67.5,70,165,175,-182.5,387.5,388.97
Hannah Ghindea,competitions-view?id=1055,Hannah Ghindea,1992,07/12/2015,2015 USAPL Ohio State Championships,3.,R-O,-72,70.30,120,130,137.5,60,65,-67.5,155,167.5,-175,370,367.00
